"Intercept_p","TPT_p","PP_p","JPM_p","IKK_p","APS_p","RRLS_p","PSAM_p","GR_p"
"91",0.895,0.176,0,0.804,0.047,0.18,0,0.393,0.524
"92",0.921,0.086,0,0.981,0.064,0.225,0,0.803,0.64
"93",0.971,0.87,0,0.231,0.338,0.048,0,0.865,0.409
"94",0.939,0.311,0,0.844,0.698,0.305,0,0.425,0.362
"95",0.922,0.093,0,0.269,0.112,0.751,0,0.025,0.314
"96",0.931,0.139,0,0.618,0.327,0.691,0,0.077,0.357
"97",0.983,0.568,0,0.341,0.837,0.412,0,0.613,0.637
"98",0.928,0.25,0,0.794,0.602,0.323,0,0.306,0.322
"99",0.774,0.942,0,0.004,0.418,0.759,0,0,0.026
"100",0.902,0.919,0,0.075,0.082,0.214,0,0.001,0.089
"101",0.844,0.127,0,0.007,0.559,0.393,0,0,0.036
"102",0.879,0.023,0,0.013,0.61,0.193,0,0,0.062
"103",0.994,0.602,0,0.214,0.196,0.207,0,0.235,0.82
"104",0.983,0.361,0,0.293,0.434,0.214,0,0.164,0.665
"105",0.94,0.218,0,0.328,0.953,0.237,0,0.041,0.391
"106",0.95,0.247,0,0.262,0.963,0.288,0,0.034,0.35
"107",0.928,0.229,0,0.1,0.824,0.189,0,0.014,0.364
"108",0.979,0.389,0,0.143,0.901,0.11,0,0.039,0.675
"109",0.93,0.198,0,0.141,0.763,0.165,0,0.027,0.44
"110",0.999,0.893,0,0.356,0.708,0.064,0,0.453,0.869
"111",0.978,0.445,0,0.103,0.784,0.09,0,0.449,0.359
"112",0.944,0.332,0,0.137,0.687,0.214,0,0.028,0.405
"113",0.818,0.489,0,0.832,0.72,0.23,0,0.62,0.257
"114",0.879,0.859,0,0.646,0.337,0.327,0,0.984,0.205
"115",0.989,0.734,0,0.429,0.176,0.673,0,0.607,0.873
"116",0.93,0.039,0,0.224,0.724,0.016,0,0.38,0.445
"117",1,0.192,0,0.171,0.105,0.319,0,0.138,0.996
"118",0.929,0.847,0,0.865,0.383,0.18,0,0.633,0.262
"119",0.972,0.164,0.002,0.197,0.041,0.289,0,0.05,0.733
"120",0.928,0.098,0,0.376,0.037,0.21,0,0.032,0.309
"121",0.921,0.061,0,0.846,0.09,0.12,0,0.018,0.273
"122",0.919,0.455,0,0.863,0.158,0.407,0,0.818,0.763
"123",0.979,0.702,0,0.625,0.26,0.49,0,0.653,0.931
"124",0.937,0.248,0,0.949,0.576,0.665,0,0.418,0.656
"125",0.895,0.176,0,0.804,0.047,0.18,0,0.393,0.524
"126",0.921,0.086,0,0.981,0.064,0.225,0,0.803,0.64
"127",0.971,0.87,0,0.231,0.338,0.048,0,0.865,0.409
"128",0.939,0.311,0,0.844,0.698,0.305,0,0.425,0.362
"129",0.922,0.093,0,0.269,0.112,0.751,0,0.025,0.314
"130",0.931,0.139,0,0.618,0.327,0.691,0,0.077,0.357
"131",0.983,0.568,0,0.341,0.837,0.412,0,0.613,0.637
"132",0.928,0.25,0,0.794,0.602,0.323,0,0.306,0.322
"133",0.774,0.942,0,0.004,0.418,0.759,0,0,0.026
"134",0.902,0.919,0,0.075,0.082,0.214,0,0.001,0.089
"135",0.844,0.127,0,0.007,0.559,0.393,0,0,0.036
"136",0.879,0.023,0,0.013,0.61,0.193,0,0,0.062
"137",0.994,0.602,0,0.214,0.196,0.207,0,0.235,0.82
"138",0.983,0.361,0,0.293,0.434,0.214,0,0.164,0.665
"139",0.94,0.218,0,0.328,0.953,0.237,0,0.041,0.391
"140",0.95,0.247,0,0.262,0.963,0.288,0,0.034,0.35
"141",0.928,0.229,0,0.1,0.824,0.189,0,0.014,0.364
"142",0.979,0.389,0,0.143,0.901,0.11,0,0.039,0.675
"143",0.93,0.198,0,0.141,0.763,0.165,0,0.027,0.44
"144",0.999,0.893,0,0.356,0.708,0.064,0,0.453,0.869
"145",0.978,0.445,0,0.103,0.784,0.09,0,0.449,0.359
"146",0.944,0.332,0,0.137,0.687,0.214,0,0.028,0.405
"147",0.818,0.489,0,0.832,0.72,0.23,0,0.62,0.257
"148",0.879,0.859,0,0.646,0.337,0.327,0,0.984,0.205
"149",0.989,0.734,0,0.429,0.176,0.673,0,0.607,0.873
"150",0.93,0.039,0,0.224,0.724,0.016,0,0.38,0.445
"151",1,0.192,0,0.171,0.105,0.319,0,0.138,0.996
"152",0.929,0.847,0,0.865,0.383,0.18,0,0.633,0.262
"153",0.972,0.164,0.002,0.197,0.041,0.289,0,0.05,0.733
"154",0.928,0.098,0,0.376,0.037,0.21,0,0.032,0.309
"155",0.921,0.061,0,0.846,0.09,0.12,0,0.018,0.273
"156",0.919,0.455,0,0.863,0.158,0.407,0,0.818,0.763
"157",0.979,0.702,0,0.625,0.26,0.49,0,0.653,0.931
"158",0.937,0.248,0,0.949,0.576,0.665,0,0.418,0.656
"159",0.895,0.176,0,0.804,0.047,0.18,0,0.393,0.524
"160",0.921,0.086,0,0.981,0.064,0.225,0,0.803,0.64
"161",0.971,0.87,0,0.231,0.338,0.048,0,0.865,0.409
"162",0.939,0.311,0,0.844,0.698,0.305,0,0.425,0.362
"163",0.922,0.093,0,0.269,0.112,0.751,0,0.025,0.314
"164",0.931,0.139,0,0.618,0.327,0.691,0,0.077,0.357
"165",0.983,0.568,0,0.341,0.837,0.412,0,0.613,0.637
"166",0.928,0.25,0,0.794,0.602,0.323,0,0.306,0.322
"167",0.774,0.942,0,0.004,0.418,0.759,0,0,0.026
"168",0.902,0.919,0,0.075,0.082,0.214,0,0.001,0.089
"169",0.844,0.127,0,0.007,0.559,0.393,0,0,0.036
"170",0.879,0.023,0,0.013,0.61,0.193,0,0,0.062
"171",0.994,0.602,0,0.214,0.196,0.207,0,0.235,0.82
"172",0.983,0.361,0,0.293,0.434,0.214,0,0.164,0.665
"173",0.94,0.218,0,0.328,0.953,0.237,0,0.041,0.391
"174",0.95,0.247,0,0.262,0.963,0.288,0,0.034,0.35
"175",0.928,0.229,0,0.1,0.824,0.189,0,0.014,0.364
"176",0.979,0.389,0,0.143,0.901,0.11,0,0.039,0.675
"177",0.93,0.198,0,0.141,0.763,0.165,0,0.027,0.44
"178",0.999,0.893,0,0.356,0.708,0.064,0,0.453,0.869
"179",0.978,0.445,0,0.103,0.784,0.09,0,0.449,0.359
"180",0.944,0.332,0,0.137,0.687,0.214,0,0.028,0.405
"181",0.818,0.489,0,0.832,0.72,0.23,0,0.62,0.257
"182",0.879,0.859,0,0.646,0.337,0.327,0,0.984,0.205
"183",0.989,0.734,0,0.429,0.176,0.673,0,0.607,0.873
"184",0.93,0.039,0,0.224,0.724,0.016,0,0.38,0.445
"185",1,0.192,0,0.171,0.105,0.319,0,0.138,0.996
"186",0.929,0.847,0,0.865,0.383,0.18,0,0.633,0.262
"187",0.972,0.164,0.002,0.197,0.041,0.289,0,0.05,0.733
"188",0.928,0.098,0,0.376,0.037,0.21,0,0.032,0.309
"189",0.921,0.061,0,0.846,0.09,0.12,0,0.018,0.273
"190",0.919,0.455,0,0.863,0.158,0.407,0,0.818,0.763
"191",0.979,0.702,0,0.625,0.26,0.49,0,0.653,0.931
"192",0.937,0.248,0,0.949,0.576,0.665,0,0.418,0.656
"193",0.895,0.176,0,0.804,0.047,0.18,0,0.393,0.524
"194",0.921,0.086,0,0.981,0.064,0.225,0,0.803,0.64
"195",0.971,0.87,0,0.231,0.338,0.048,0,0.865,0.409
"196",0.939,0.311,0,0.844,0.698,0.305,0,0.425,0.362
"197",0.922,0.093,0,0.269,0.112,0.751,0,0.025,0.314
"198",0.931,0.139,0,0.618,0.327,0.691,0,0.077,0.357
"199",0.983,0.568,0,0.341,0.837,0.412,0,0.613,0.637
"200",0.928,0.25,0,0.794,0.602,0.323,0,0.306,0.322
"201",0.774,0.942,0,0.004,0.418,0.759,0,0,0.026
"202",0.902,0.919,0,0.075,0.082,0.214,0,0.001,0.089
"203",0.844,0.127,0,0.007,0.559,0.393,0,0,0.036
"204",0.879,0.023,0,0.013,0.61,0.193,0,0,0.062
