OBJECTID;Intercept;TPT;PP;JPM;IKK;APS;RRLS;PSAM;GR;y;yhat;residual;CV_Score;Stud_residual;Intercept_SE;TPT_SE;PP_SE;JPM_SE;IKK_SE;APS_SE;RRLS_SE;PSAM_SE;GR_SE;Intercept_TV;TPT_TV;PP_TV;JPM_TV;IKK_TV;APS_TV;RRLS_TV;PSAM_TV;GR_TV;Local_R2;LAT;LONG;Intercept_p;TPT_p;PP_p;JPM_p;IKK_p;APS_p;RRLS_p;PSAM_p;GR_p;hasil.GWPRBISQUR$SDF$Local_R2;
11;11;-0.00402624781707593;0.0180361527033075;0.000788532088011946;-0.000165298469405773;0.00220574633661533;-0.0921058231780291;233.044.670.169.796;0.00272983578468608;-253.150.921.462.093;-0.743333333333325;-0.739734099088378;-0.00359923424494712;0;-0.0877287720035198;0.0174172975776611;0.0259353914257343;8,95E+09;0.000778812611413453;0.00614123286256485;0.076077573249214;0.232991696568364;0.00549094807596045;221.804.908.481.874;-0.231163749664579;0.695426277060587;881.522.137.117.893;-0.212244212514453;0.359169955931961;-121.068.298.112.388;100.022.736.261.512;0.497151993958455;-114.132.244.951.099;0.990982530513877;61.745;1.068.227;0.818;0.489;0;0.832;0.72;0.23;0;0.62;0.257;0.990982530513877
12;12;-0.00218080446885201;-0.00455807130110082;0.00109560752120235;6,07E+09;-0.00753133930600045;0.0495998405666801;199.196.704.816.384;6,41E+08;-248.019.763.309.831;-125.666.666.666.667;-121.935.641.505.198;-0.0373102516146966;0;-0.78300608457162;0.0142290117977465;0.0255868804991694;9,70E+09;0.000131799054044759;0.00780324072280728;0.0502697908779472;0.226007652106727;0.0032467382517886;194.214.699.952.508;-0.153264646895394;-0.178140953964622;112.987.459.644.438;0.46083847216223;-0.96515532117161;0.986672904351368;881.371.506.493.583;0.0197476572186514;-127.703.908.803.237;0.991508615259179;-688.917;10.764.047;0.879;0.859;0;0.646;0.337;0.327;0;0.984;0.205;0.991508615259179
13;13;-0.000204875070482696;-0.00707187589918986;0.00111678898258119;9,39E+09;-0.00772214868848295;0.0243642501833342;201.150.114.102.196;-0.00161151158993161;-0.281222151977374;-117.833.333.333.334;-120.588.474.492.205;0.0275514115887066;0;0.466352835378098;0.0150094468147296;0.0207374442886656;0.000110613533012001;0.000118228574335803;0.00564879644088263;0.0575440366870177;0.194678953945527;0.00311985708032847;175.040.193.743.626;-0.0136497415935171;-0.341019645465913;100.963.141.866.197;0.79458775500108;-136.704.318.686.271;0.423401825559293;103.324.016.297.355;-0.51653378614444;-0.160661472066963;0.992354053697739;-730.324;11.000.441;0.989;0.734;0;0.429;0.176;0.673;0;0.607;0.873;0.992354053697739
14;14;-0.00144559894846015;0.061575221417508;0.000963245670317103;-0.000942663716259705;0.00213613749542781;-0.135501092159081;237.830.385.532.883;-0.00580141826180316;-184.230.290.615.023;-0.983333333333334;-102.679.067.036.665;0.0434573370333162;0;120.651.142.186.789;0.0163657378488504;0.0293469189013856;0.000110179635094401;0.000768649966062875;0.00603723137153942;0.0548293195766789;0.193023514965076;0.00656894058960219;240.107.624.769.451;-0.08833081415646;209.818.351.372.487;874.250.191.055.544;-12.263.888.087.944;0.35382733640091;-247.132.543.692.399;123.213.166.839.239;-0.883158887292432;-0.767282133551231;0.990135049299194;77.956;1.103.695;0.93;0.039;0;0.224;0.724;0.016;0;0.38;0.445;0.990135049299194
15;15;9,46E+08;-0.0314089439405478;0.000514810698853295;-0.00022596961848428;0.00952890955809683;-0.0500944326372606;278.068.945.881.215;0.00592402573807752;-0.00882685565507302;-125.333.333.333.333;-12.626.938.999.114;0.00936056657806938;0;0.210556246638907;0.0150862502348784;0.0238443792514923;0.000139660412251158;0.000163394828780883;0.00581342062745799;0.0499792922606045;0.182441907142129;0.00395225906646308;167.270.043.467.822;0.000626990859590625;-13.172.472.895.717;368.616.052.720.428;-138.296.676.932.972;163.912.267.299.046;-100.230.376.164.704;152.415.061.998.113;149.889.610.940.383;-0.00527700924330248;0.989148265593004;-696.851;11.398.005;1;0.192;0;0.171;0.105;0.319;0;0.138;0.996;0.989148265593004
16;16;-0.00115762519074252;-0.00461193017310335;0.00106984138696984;2,18E+09;-0.00564038269662311;0.0590945712483641;199.312.415.628.785;0.00143685020158632;-214.702.617.765.366;-0.963333333333338;-104.476.216.328.917;0.0814288299558361;0;114.370.887.564.403;0.0129113615773283;0.0237796124348269;9,08E+09;0.000127961527382706;0.0064262096603839;0.0436501315183747;0.200817604080897;0.00299645505735881;189.976.147.325.662;-0.0896594200239312;-0.193944715698935;117.770.369.806.218;0.170296741787114;-0.877715324383947;135.382.344.090.963;992.504.698.684.158;0.479516686912307;-113.015.565.789.592;0.991049733578445;-644.538;10.613.756;0.929;0.847;0;0.865;0.383;0.18;0;0.633;0.262;0.991049733578445
17;17;-0.000531532845726608;-0.0331604474189385;0.000456611143327582;-0.000245933777565821;0.011525471926629;-0.0535157949598644;283.069.251.823.162;0.00796555533900643;0.558202369596778;-104.666.666.666.667;-108.410.329.219.866;0.037436625531994;0;0.561078513844817;0.0149356468487064;0.0235863708404397;0.000142313369625296;0.000189084761870626;0.00556099095738588;0.0500974453804641;0.181184227890991;0.00400160048293826;163.245.746.334.175;-0.0355882039198487;-140.591.562.997.405;320.849.084.333.972;-130.065.360.705.318;207.255.721.416.367;-106.823.400.980.708;156.232.832.801.246;199.059.235.747.532;0.341939917046354;0.988064256561964;-823.566;11.512.239;0.972;0.164;0.002;0.197;0.041;0.289;0;0.05;0.733;0.988064256561964
18;18;-0.00127553919996303;-0.0344347010229345;0.000548328081236346;-0.000212504088415776;0.010986806055591;-0.0517972886973868;278.850.863.691.906;0.008975420589561;151.607.698.759.598;-148.333.333.333.333;-145.244.953.501.548;-0.0308837983178551;0;-0.563572376786712;0.0141019176195519;0.0205913927882849;0.000133500153662587;0.000238777560401254;0.00516413888458669;0.0410090068054765;0.174855509663757;0.00412052711876947;14.804.571.503.913;-0.090451471521471;-167.228.615.261.642;410.732.172.355.555;-0.889966745864533;212.751.947.636.092;-126.307.103.566.502;159.475.022.679.085;217.822.145.828.793;102.406.002.578.006;0.987090937067273;-812.179;11.763.696;0.928;0.098;0;0.376;0.037;0.21;0;0.032;0.309;0.987090937067273
19;19;-0.00130268525225654;-0.036611019826015;0.000673946201127727;-4,62E+09;0.00837535415804648;-0.0604908976712767;266.595.392.717.137;0.00965965569221466;152.764.931.535.769;-122.333.333.333.334;-120.935.037.136.591;-0.0139829619674237;0;-0.19275760843243;0.0131522203765991;0.0192952333868199;0.000118434246169069;0.000236970415189487;0.00487379793323589;0.0384650900400885;0.164886218448006;0.00399537392409847;138.518.727.939.833;-0.0990467932376136;-189.741.264.549.943;569.046.726.709.134;-0.194870311242251;171.844.509.616.052;-157.261.812.225.664;161.684.460.488.251;241.771.005.060.416;110.284.676.886.524;0.985667168186467;-856.568;12.069.786;0.921;0.061;0;0.846;0.09;0.12;0;0.018;0.273;0.985667168186467
20;20;0.00174843852103104;0.0287539884460361;0.000909896716131824;-0.000120760367237286;0.0127090889361389;0.0468732122088783;248.215.054.625.081;0.00172378749460754;-0.774905736064341;-125.333.333.333.333;-119.362.489.690.488;-0.0597084364284464;0;-10.699.208.248.478;0.0172237807583453;0.0383151523405639;0.000110889314594112;0.000698695040855473;0.00892476297286415;0.0562754183107271;0.22899713972333;0.00745386140402116;255.813.962.491.659;0.101513050215986;0.750459979656522;820.544.990.707.461;-0.172837017834603;142.402.537.465.488;0.83292516725626;108.392.207.398.297;0.231261007036917;-0.302917686164064;0.992203302187564;-0.13224;11.109.689;0.919;0.455;0;0.863;0.158;0.407;0;0.818;0.763;0.992203302187564
